value,ET_daily,DOY,Month,year_id,month_id
3.890767255,3.890767255,253,9/1/2019,2019,9
4.161268731,4.161268731,254,9/1/2019,2019,9
3.220054369,3.220054369,255,9/1/2019,2019,9
3.890391414,3.890391414,256,9/1/2019,2019,9
2.043989078,2.043989078,257,9/1/2019,2019,9
4.446964938,4.446964938,258,9/1/2019,2019,9
3.986345482,3.986345482,259,9/1/2019,2019,9
4.99273372,4.99273372,260,9/1/2019,2019,9
3.325498265,3.325498265,261,9/1/2019,2019,9
3.969961065,3.969961065,262,9/1/2019,2019,9
4.366640165,4.366640165,263,9/1/2019,2019,9
5.013202688,5.013202688,267,9/1/2019,2019,9
2.879423471,2.879423471,268,9/1/2019,2019,9
3.276990701,3.276990701,269,9/1/2019,2019,9
2.174097295,2.174097295,270,9/1/2019,2019,9
2.963856298,2.963856298,271,9/1/2019,2019,9
1.37876914,1.37876914,272,9/1/2019,2019,9
3.878239464,3.878239464,273,9/1/2019,2019,9
2.190263743,2.190263743,274,10/1/2019,2019,10
1.13265142,1.13265142,275,10/1/2019,2019,10
1.880475837,1.880475837,276,10/1/2019,2019,10
2.071592596,2.071592596,277,10/1/2019,2019,10
2.17956497,2.17956497,278,10/1/2019,2019,10
2.385445144,2.385445144,279,10/1/2019,2019,10
2.625056819,2.625056819,280,10/1/2019,2019,10
2.855078206,2.855078206,281,10/1/2019,2019,10
2.286804267,2.286804267,282,10/1/2019,2019,10
0.886948378,0.886948378,283,10/1/2019,2019,10
1.293324543,1.293324543,284,10/1/2019,2019,10
2.252052001,2.252052001,285,10/1/2019,2019,10
1.528929313,1.528929313,286,10/1/2019,2019,10
1.807160168,1.807160168,287,10/1/2019,2019,10
2.059414529,2.059414529,288,10/1/2019,2019,10
